user_id,tariff_plan,date_start
166713,A,15/08/2019
166901,A,23/08/2019
168527,A,29/10/2019
167097,A,01/09/2019
168193,A,16/10/2019
167764,A,30/09/2019
167050,A,29/08/2019
168252,A,17/10/2019
168495,A,28/10/2019
167879,A,03/10/2019
168573,A,31/10/2019
166610,A,12/08/2019
167536,A,19/09/2019
168354,A,23/10/2019
168284,A,20/10/2019
168422,A,24/10/2019
168253,A,18/10/2019
168062,A,11/10/2019
168048,A,10/10/2019
168205,A,16/10/2019
167838,A,02/10/2019
168361,A,23/10/2019
168295,A,21/10/2019
167881,A,03/10/2019
168121,A,14/10/2019
168049,A,10/10/2019
167949,A,07/10/2019
168187,A,16/10/2019
167828,A,02/10/2019
167810,A,01/10/2019
168112,A,14/10/2019
167953,A,07/10/2019
167799,A,01/10/2019
166897,A,23/08/2019
167628,A,24/09/2019
166916,A,23/08/2019
167497,A,18/09/2019
167634,A,24/09/2019
166879,A,22/08/2019
166465,A,05/08/2019
166523,A,07/08/2019
166806,A,20/08/2019
167185,A,05/09/2019
168459,A,26/10/2019
167267,A,10/09/2019
166541,A,07/08/2019
167090,A,30/08/2019
166934,A,26/08/2019
166896,A,23/08/2019
166725,A,16/08/2019
166582,A,09/08/2019
166843,A,21/08/2019
166407,A,02/08/2019
166439,A,02/08/2019
168128,A,15/10/2019
168176,A,16/10/2019
168341,A,22/10/2019
167265,A,10/09/2019
167211,A,06/09/2019
168255,A,18/10/2019
167158,A,04/09/2019
166609,A,12/08/2019
167000,A,28/08/2019
167285,A,10/09/2019
168576,A,31/10/2019
168281,A,19/10/2019
168020,A,09/10/2019
166681,A,14/08/2019
166427,A,02/08/2019
166531,A,07/08/2019
166481,A,05/08/2019
167626,A,24/09/2019
167662,A,24/09/2019
167118,A,02/09/2019
166570,A,09/08/2019
167631,A,24/09/2019
166720,C,16/08/2019
167948,C,07/10/2019
167584,C,21/09/2019
167701,C,26/09/2019
167397,C,16/09/2019
168202,C,16/10/2019
167212,C,06/09/2019
167698,C,25/09/2019
167368,C,13/09/2019
167364,C,13/09/2019
167180,C,05/09/2019
166619,C,12/08/2019
168185,C,16/10/2019
167739,C,27/09/2019
167325,C,11/09/2019
168350,C,22/10/2019
168054,C,10/10/2019
167534,C,19/09/2019
166939,C,26/08/2019
167309,C,11/09/2019
168529,C,29/10/2019
167390,C,14/09/2019
166997,C,28/08/2019
168088,C,14/10/2019
168412,C,24/10/2019
166546,C,08/08/2019
166669,C,14/08/2019
167412,C,16/09/2019
167918,C,04/10/2019
167829,C,02/10/2019
168186,C,16/10/2019
166374,C,01/08/2019
167831,C,02/10/2019
166878,C,22/08/2019
167646,C,24/09/2019
168090,C,14/10/2019
168115,C,14/10/2019
167718,C,26/09/2019
167669,C,25/09/2019
166650,C,13/08/2019
166487,C,06/08/2019
167441,C,17/09/2019
168471,C,28/10/2019
168469,C,28/10/2019
168598,C,31/10/2019
168606,C,31/10/2019
168133,C,15/10/2019
167875,C,03/10/2019
167715,C,26/09/2019
168335,C,22/10/2019
168473,C,28/10/2019
167727,C,26/09/2019
168582,C,31/10/2019
168374,C,23/10/2019
168536,C,29/10/2019
168575,C,31/10/2019
167599,C,23/09/2019
168411,C,24/10/2019
168601,C,31/10/2019
166762,C,19/08/2019
168008,C,09/10/2019
168368,C,23/10/2019
168515,C,29/10/2019
167471,C,18/09/2019
168522,C,29/10/2019
167958,C,07/10/2019
168353,C,23/10/2019
167742,C,27/09/2019
168264,C,18/10/2019
168175,C,16/10/2019
168464,C,28/10/2019
167139,C,03/09/2019
168303,C,21/10/2019
167747,C,27/09/2019
167238,C,09/09/2019
168190,C,16/10/2019
168486,C,28/10/2019
166905,C,23/08/2019
166782,C,19/08/2019
166508,C,06/08/2019
166930,C,23/08/2019
167040,C,29/08/2019
167735,C,27/09/2019
166400,C,01/08/2019
168348,C,22/10/2019
168206,C,16/10/2019
168416,C,24/10/2019
167934,C,07/10/2019
167923,C,07/10/2019
168415,C,24/10/2019
168165,C,15/10/2019
167187,C,05/09/2019
